number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run
144,2202DP,2202,0,305,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,305,0,305,0,305,0,305,1,1,1,1,0.01,0.01,0,0,0
145,2203DP,2203,0,337,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,337,0,337,0,337,0,337,1,1,1,1,0.01,0.01,0,0,0
146,2503DP,2503,0,364,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,364,0,364,0,364,0,364,1,1,1,1,0.01,0.01,0,0,0
147,1401DP,1401,0,425,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,425,0,425,0,425,0,425,1,1,1,1,0.01,0.01,0,0,0
148,2502DP,2502,0,467,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,467,0,467,0,467,0,467,1,1,1,1,0.01,0.01,0,0,0
149,2403DP,2403,0,207,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,207,0,207,0,207,0,207,1,1,1,1,0.01,0.01,0,0,0
150,2407DP,2407,0,342,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,342,0,342,0,342,0,342,1,1,1,1,0.01,0.01,0,0,0
151,2400DP,2400,0,166,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,166,0,166,0,166,0,166,1,1,1,1,0.01,0.01,0,0,0
152,2409DP,2409,0,316,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,316,0,316,0,316,0,316,1,1,1,1,0.01,0.01,0,0,0
153,2402DP,2402,0,213,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,213,0,213,0,213,0,213,1,1,1,1,0.01,0.01,0,0,0
154,2613DP,2613,0,63,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,63,0,63,0,63,0,63,1,1,1,1,0.01,0.01,0,0,0
155,2408DP,2408,0,344,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,344,0,344,0,344,0,344,1,1,1,1,0.01,0.01,0,0,0
156,1402DP,1402,0,349,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,349,0,349,0,349,0,349,1,1,1,1,0.01,0.01,0,0,0
157,2615DP,2615,0,158,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,158,0,158,0,158,0,158,1,1,1,1,0.01,0.01,0,0,0
158,2406DP,2406,0,145,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,145,0,145,0,145,0,145,1,1,1,1,0.01,0.01,0,0,0
159,2618DP,2618,0,174,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,174,0,174,0,174,0,174,1,1,1,1,0.01,0.01,0,0,0
160,2405DP,2405,0,163,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,163,0,163,0,163,0,163,1,1,1,1,0.01,0.01,0,0,0
161,2401DP,2401,0,174,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,174,0,174,0,174,0,174,1,1,1,1,0.01,0.01,0,0,0
162,2410DP,2410,0,311,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,311,0,311,0,311,0,311,1,1,1,1,0.01,0.01,0,0,0
163,2411DP,2411,0,214,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,214,0,214,0,214,0,214,1,1,1,1,0.01,0.01,0,0,0
164,1101DP,1101,0,295,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,295,0,295,0,295,0,295,1,1,1,1,0.01,0.01,0,0,0
165,3805DP,3805,0,98,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,98,0,98,0,98,0,98,1,1,1,1,0.01,0.01,0,0,0
166,1301DP,1301,0,176,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,176,0,176,0,176,0,176,1,1,1,1,0.01,0.01,0,0,0
167,3403DP,3403,0,102,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,102,0,102,0,102,0,102,1,1,1,1,0.01,0.01,0,0,0
168,1303DP,1303,0,224,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,224,0,224,0,224,0,224,1,1,1,1,0.01,0.01,0,0,0
169,3404DP,3404,0,86,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,86,0,86,0,86,0,86,1,1,1,1,0.01,0.01,0,0,0
170,1003DP,1003,0,94,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,94,0,94,0,94,0,94,1,1,1,1,0.01,0.01,0,0,0
171,3918DP,3918,0,63,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,63,0,63,0,63,0,63,1,1,1,1,0.01,0.01,0,0,0
172,3401DP,3401,0,110,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,110,0,110,0,110,0,110,1,1,1,1,0.01,0.01,0,0,0
173,1004DP,1004,0,45,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,45,0,45,0,45,0,45,1,1,1,1,0.01,0.01,0,0,0
174,3303DP,3303,0,123,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,123,0,123,0,123,0,123,1,1,1,1,0.01,0.01,0,0,0
175,3304DP,3304,0,105,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,105,0,105,0,105,0,105,1,1,1,1,0.01,0.01,0,0,0
176,3302DP,3302,0,68,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,68,0,68,0,68,0,68,1,1,1,1,0.01,0.01,0,0,0
177,3305DP,3305,0,85,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,85,0,85,0,85,0,85,1,1,1,1,0.01,0.01,0,0,0
178,3203DP,3203,0,130,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,130,0,130,0,130,0,130,1,1,1,1,0.01,0.01,0,0,0
179,3103DP,3103,0,83,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,83,0,83,0,83,0,83,1,1,1,1,0.01,0.01,0,0,0
180,3104DP,3104,0,61,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,61,0,61,0,61,0,61,1,1,1,1,0.01,0.01,0,0,0
181,3923DP,3923,0,79,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,79,0,79,0,79,0,79,1,1,1,1,0.01,0.01,0,0,0
182,8005DP,8005,0,260,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,260,0,260,0,260,0,260,1,1,1,1,0.01,0.01,0,0,0
183,3101DP,3101,0,67,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,67,0,67,0,67,0,67,1,1,1,1,0.01,0.01,0,0,0
184,3202DP,3202,0,116,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,116,0,116,0,116,0,116,1,1,1,1,0.01,0.01,0,0,0
185,3205DP,3205,0,108,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,108,0,108,0,108,0,108,1,1,1,1,0.01,0.01,0,0,0
186,3201DP,3201,0,91,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,91,0,91,0,91,0,91,1,1,1,1,0.01,0.01,0,0,0
187,3907DP,3907,0,91,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,91,0,91,0,91,0,91,1,1,1,1,0.01,0.01,0,0,0
188,3204DP,3204,0,132,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,132,0,132,0,132,0,132,1,1,1,1,0.01,0.01,0,0,0
189,8004DP,8004,0,744,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,744,0,744,0,744,0,744,1,1,1,1,0.01,0.01,0,0,0
190,3924DP,3924,0,66,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,66,0,66,0,66,0,66,1,1,1,1,0.01,0.01,0,0,0
191,3501DP,3501,0,123,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,123,0,123,0,123,0,123,1,1,1,1,0.01,0.01,0,0,0
192,3913DP,3913,0,65,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,65,0,65,0,65,0,65,1,1,1,1,0.01,0.01,0,0,0
193,3405DP,3405,0,88,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,88,0,88,0,88,0,88,1,1,1,1,0.01,0.01,0,0,0
194,6401DP,6401,0,60,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,60,0,60,0,60,0,60,1,1,1,1,0.01,0.01,0,0,0
195,8003DP,8003,0,129,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,129,0,129,0,129,0,129,1,1,1,1,0.01,0.01,0,0,0
196,6510DP,6510,0,229,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,229,0,229,0,229,0,229,1,1,1,1,0.01,0.01,0,0,0
197,7001DP,7001,0,349,0.25,0.25,PV-1,1,24,0,0,0,0,500,6,15,0,349,0,349,0,349,0,349,1,1,1,1,0.01,0.01,0,0,0
