name,unit,fuel,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Santan power station,ST4,NG,104,CC,1975,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,STS5,NG,622,CC,2005,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,STS6,NG,290,CC,2006,,33.3325,-111.7503,Maricopa,Arizona
SCA cogeneration 2 power station,CCC1,NG,149,CC,1997,,38.530943,-121.4001,Sacramento,California
Scattergood power station,1,NG,163,ST,1958,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,2,NG,163,ST,1959,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,6,NG,107,CT,2015,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,7,NG,107,CT,2015,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,CC1,NG,336,CC,2015,,33.918151,-118.4276,Los Angeles,California
Sentinel energy center,CTG1,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG2,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG3,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG4,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG5,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG6,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG7,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG8,NG,100,CT,2013,,33.934167,-116.5714,Riverside,California
Silverhawk power station,PB1,NG,665,CC,2004,,36.4078,-114.9606,Clark,Nevada
South Point energy center,CC1,NG,708,CC,2001,,34.8678,-114.5317,Mohave,Arizona
SPA cogeneration 3 power station,CCC1,NG,174,CC,1997,,38.511,-121.4735,Sacramento,California
Stanton Energy Reliability Center,GT1,NG,71,CT,2020,,33.806801,-117.9858,Orange,California
Stanton Energy Reliability Center,GT2,NG,71,CT,2020,,33.806801,-117.9858,Orange,California
Sumas power plant,CC1,NG,126,CC,1993,,48.9905,-122.2733,Whatcom,Washington
Sundance power station,CT1,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT10,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT2,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT3,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT4,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT5,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT6,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT7,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT8,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT9,NG,61,CT,2002,,32.9285,-111.5899,Pinal,Arizona
Sunrise power station,CC1,NG,685,CC,2003,,35.2097,-119.585,Kern,California
Sutter energy center,CC1,NG,636,CC,2001,,39.053139,-121.6959,Sutter,California
Sycamore cogeneration power station,GTAG,NG,75,CT,1987,,35.452577,-118.9853,Kern,California
Sycamore cogeneration power station,GTBG,NG,75,CT,1987,,35.452577,-118.9853,Kern,California
Sycamore cogeneration power station,GTCG,NG,75,CT,1987,,35.452577,-118.9853,Kern,California
Sycamore cogeneration power station,GTDG,NG,75,CT,1987,,35.452577,-118.9853,Kern,California
THUMS power station,GEN1,NG,57,CT,2003,,33.7684,-118.2141,Los Angeles,California
Tracy Combined Cycle power plant,CC12,NG,336,CC,2012,,37.7107,-121.4906,San Joaquin,California
Tracy power station,3,NG,120,ST,1974,,39.5625,-119.525,Storey,Nevada
Tracy power station,G240,NG,120,CC,1996,,39.5625,-119.525,Storey,Nevada
Tracy power station,PB1,NG,623,CC,2008,,39.5625,-119.525,Storey,Nevada
Valencia energy facility,CTG1,NG,160,CT,2008,,34.611549,-106.7322,Valencia,New Mexico
Valmont Station,6,NG,59,CT,1973,,40.0205,-105.2009,Boulder,Colorado
Valmont Station,UN7,NG,71,CT,2000,,40.0205,-105.2009,Boulder,Colorado
Valmont Station,UN8,NG,71,CT,2001,,40.0205,-105.2009,Boulder,Colorado
Walnut Creek energy park,GT1,NG,100,CT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT2,NG,100,CT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT3,NG,100,CT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT4,NG,100,CT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT5,NG,100,CT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut energy center,WEC,NG,301,CC,2006,,37.4878,-120.8956,Stanislaus,California
West Phoenix power station,1B,NG,132,CC,1976,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,2B,NG,132,CC,1976,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,3B,NG,132,CC,1976,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,CC1,NG,136,CC,2001,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,CC2,NG,570,CC,2003,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,GT1,NG,53,CT,1972,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,GT2,NG,53,CT,1973,,33.4417,-112.1583,Maricopa,Arizona
Western 102 power station,1,NG,117.6,IC,2005,,39.5603,-119.5108,Storey,Nevada
Woodland power station,CC1,NG,98,CC,2003,,37.652602,-121.0204,Stanislaus,California
Woodland power station,IC,NG,50.4,IC,2011,,37.652602,-121.020397,Stanislaus,California
Yuba City cogeneration Partners power station,GEN1,NG,50,CT,1990,,39.13667,-121.6398,Sutter,California
Yuma cogeneration Associates power station,YUCG,NG,63,CC,1994,,32.728822,-114.6541,Yuma,Arizona
