name,unit,capacity[MW],Capacity Rating,start[y],retirement[y],latitude,longitude,county,state,type
Palmer Solar,,60.0,MWac,2020.0,,38.6299,-104.6526,El Paso County,Colorado,PV
Panoche Valley solar farm,,140.0,MWac,2018.0,,36.627,-120.879,San Benito County,California,PV
Pavant Solar 1,1,50.0,MWac,2015.0,,39.15,-112.352,Millard County,Utah,PV
Pavant Solar 2,2,50.0,MWac,2016.0,,39.162,-112.356,Millard County,Utah,PV
Pavant Solar 3,3,20.0,MWac,2016.0,,39.157,-112.371,,Utah,PV
Picture Rocks Solar,,20.0,MWac,2012.0,,32.3697,-111.2428,Pima County,Arizona,PV
Pinal Central Energy Center Hybrid solar farm,,20.0,MWac,2018.0,,32.8757,-111.5511,Pinal County,Arizona,PV
Pioneer Solar,,80.0,MWac,2021.0,,39.7616,-104.459,Adams County,Colorado,PV
Playa Solar 1,1,79.0,MWac,2017.0,,36.408,-114.908,Clark County,Nevada,PV
Playa Solar 1,2,100.0,MWac,2017.0,,36.408,-114.908,Clark County,Nevada,PV
Portal Ridge Solar B,,20.0,MWac,2017.0,,34.7165,-118.2821,Los Angeles County,California,PV
Prineville Solar Energy,,46.0,MWac,2021.0,,44.268,-120.878,Crook County,Oregon,PV
Pumpjack Solar I,,20.0,MWac,2015.0,,35.3056,-119.6225,Kern County,California,PV
Quinto Solar Pv Project,,108.0,MWac,2015.0,,37.122,-121.044,Merced County,California,PV
Rabbitbrush Solar,,100.0,MWac,2022.0,,34.8301,-118.32,Kern County,California,PV
Rancho Seco Solar II,RSS2,160.0,MWac,2021.0,,38.3468,-121.1198,Sacramento County,California,PV
Rawhide Prairie Solar Hybrid,,22.0,MWac,2021.0,,40.858,-105.0156,Larimer County,Colorado,PV
Red Horse solar farm,2,51.0,MWac,2015.0,,32.261,-110.158,Cochise County,Arizona,PV
Red Horse solar farm,3,30.0,MWac,2016.0,,32.269,-110.155,Cochise County,Arizona,PV
Red Rock solar farm,,40.0,MWac,2017.0,,32.551,-111.2892,Pinal County,Arizona,PV
Redwood 4 solar farm,,20.0,MWac,2017.0,,35.3142,-118.8119,Kern County,California,PV
Regulus Solar Project,,60.0,MWac,2014.0,,35.3001,-118.8519,Kern County,California,PV
Rio Bravo Solar,1,20.0,MWac,2016.0,,35.416,-119.63,Kern County,California,PV
Rio Bravo Solar,2,20.0,MWac,2016.0,,35.4225,-119.6292,Kern County,California,PV
Roadrunner (Clearway) solar farm,,20.0,MWac,2011.0,,31.8086,-106.67,Doña Ana County,New Mexico,PV
Rosamond solar farm,1,20.0,MWac,2014.0,,34.9001,-118.2469,Kern County,California,PV
Rosamond solar farm,2,20.0,MWac,2014.0,,34.904,-118.253,Kern County,California,PV
Roswell Solar,,70.0,MWac,2016.0,,33.4529,-104.4611,Chaves County,New Mexico,PV
Route 66 Energy Center solar farm,,50.0,MWac,2022.0,,35.0984,-107.6146,Cibola County,New Mexico,PV
SEPV Mojave West solar farm,,20.0,MWac,2016.0,,35.0229,-118.2827,Kern County,California,PV
Sage Solar I-III,,58.0,MWac,2019.0,,41.7701,-111.06,Rich County,Utah,PV
Saint Solar,,100.0,MWac,2021.0,,32.8663,-111.5024,Pinal County,Arizona,PV
Salome Solar,,32.0,MWac,2020.0,,33.7767,-113.6561,La Paz County,Arizona,PV
San Isabel Solar,,30.0,MWac,2016.0,,37.371,-104.474,Las Animas County,Colorado,PV
San Luis Valley Solar Ranch,,35.0,MWac,2011.0,,37.6945,-105.9276,Alamosa County,Colorado,PV
San Pablo Raceway solar farm,,100.0,MWac,2019.0,,34.7237,-118.2803,Los Angeles County,California,PV
Sandstone Solar,,45.0,MWac,2015.0,,33.041,-111.452,Pinal County,Arizona,PV
Seville solar farm,1,20.0,MWac,2015.0,,33.1125,-116.0139,Imperial County,California,PV
Seville solar farm,2,30.0,MWac,2015.0,,33.1101,-116.0059,Imperial County,California,PV
Shafter Solar,,20.0,MWac,2015.0,,35.451,-119.128,Kern County,California,PV
Sierra Solar Greenworks,,20.0,MWac,2015.0,,34.7036,-118.3342,Los Angeles County,California,PV
Sigurd Solar,,80.0,MWac,2021.0,,38.8505,-112.0052,Sevier County,Utah,PV
Silver State Solar Power North,,52.0,MWac,2012.0,,35.6237,-115.3562,Clark County,Nevada,PV
Silver State Solar Power South,1,26.0,MWac,2015.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,2,28.0,MWac,2015.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,3,37.0,MWac,2015.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,4,36.0,MWac,2016.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,5,35.0,MWac,2016.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,6,37.0,MWac,2016.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,7,35.0,MWac,2016.0,,35.604,-115.341,Clark County,Nevada,PV
Silver State Solar Power South,8,26.0,MWac,2016.0,,35.604,-115.341,Clark County,Nevada,PV
Simcoe Solar,,20.0,MWac,2017.0,,43.325,-115.938,Elmore County,Idaho,PV
Slate Hybrid solar farm,1,50.0,MWac,2021.0,,36.227,-119.8948,Kings County,California,PV
Slate Hybrid solar farm,2,93.0,MWac,2022.0,,36.227,-119.8948,Kings County,California,PV
Slate Hybrid solar farm,3,68.0,MWac,2022.0,,36.227,-119.8948,Kings County,California,PV
Slate Hybrid solar farm,4,26.0,MWac,2022.0,,36.227,-119.8948,Kings County,California,PV
Slate Hybrid solar farm,5,63.0,MWac,2022.0,,36.227,-119.8948,Kings County,California,PV
Sol Orchard El Centro solar farm,,20.0,MWac,2013.0,,32.8033,-115.5464,Imperial County,California,PV
Solana Solar Generating Station,1,125.0,MWac,2013.0,,32.9223,-112.9559,Maricopa County,Arizona,PV
Solana Solar Generating Station,2,125.0,MWac,2013.0,,32.9223,-112.9559,Maricopa County,Arizona,PV
Solar Electric Generating Station,3,30.0,MWac,1986.0,2021.0,35.0069,-117.5558,San Bernardino County,California,PV
Solar Electric Generating Station,4,30.0,MWac,1986.0,2021.0,35.0122,-117.5557,San Bernardino County,California,PV
Solar Electric Generating Station,5,30.0,MWac,1987.0,2021.0,35.0195,-117.5555,San Bernardino County,California,PV
Solar Electric Generating Station,6,30.0,MWac,1988.0,2021.0,35.021,-117.5661,San Bernardino County,California,PV
Solar Electric Generating Station,7,30.0,MWac,1988.0,2021.0,35.0148,-117.5659,San Bernardino County,California,PV
Solar Electric Generating Station,8,80.0,MWac,1989.0,2021.0,35.0308,-117.3563,San Bernardino County,California,PV
Solar Electric Generating Station,9,80.0,MWac,1990.0,,35.033,-117.338,San Bernardino County,California,PV
Solar Gen 2 Solar Facility,ALHM,54.0,MWac,2014.0,,33.0801,-115.47,Imperial County,California,PV
Solar Gen 2 Solar Facility,ARK,54.0,MWac,2014.0,,33.142,-115.468,Imperial County,California,PV
Solar Gen 2 Solar Facility,SONR,54.0,MWac,2014.0,,33.167,-115.448,Imperial County,California,PV
Solar Oasis,,20.0,MWac,2016.0,,34.666,-118.088,Los Angeles County,California,PV
Solar Star 1,1,39.0,MWac,2014.0,,34.8181,-118.4036,Kern County,California,PV
Solar Star 1,2,64.0,MWac,2014.0,,34.8181,-118.4036,Kern County,California,PV
Solar Star 1,3,58.0,MWac,2014.0,,34.8181,-118.4036,Kern County,California,PV
Solar Star 1,4,54.0,MWac,2015.0,,34.8181,-118.4036,Kern County,California,PV
Solar Star 1,5,54.0,MWac,2015.0,,34.8181,-118.4036,Kern County,California,PV
Solar Star 1,6,33.0,MWac,2015.0,,34.8181,-118.4036,Kern County,California,PV
Solar Star 2,2,52.0,MWac,2014.0,,34.8486,-118.3528,Kern County,California,PV
Solar Star 2,3,60.0,MWac,2014.0,,34.8486,-118.3528,Kern County,California,PV
Solar Star 2,4,56.0,MWac,2014.0,,34.8486,-118.3528,Kern County,California,PV
Solar Star 2,5,48.0,MWac,2014.0,,34.8486,-118.3528,Kern County,California,PV
Solar Star 2,6,44.0,MWac,2015.0,,34.8486,-118.3528,Kern County,California,PV
Solar Star California,RS1,54.0,MWac,2016.0,,34.839,-118.3868,Kern County,California,PV
Solar Star Oregon II,2,56.0,MWac,2017.0,,44.1843,-120.918,Crook County,Oregon,PV
Solverde 1 solar farm,,85.0,MWac,2016.0,,34.6557,-118.2982,Los Angeles County,California,PV
Spectrum Solar Power Project,,30.0,MWac,2013.0,,36.2301,-114.87,Clark County,Nevada,PV
Springbok solar farm,1,105.0,MWac,2016.0,,35.2492,-117.9553,Kern County,California,PV
Springbok solar farm,2,155.0,MWac,2016.0,,35.2492,-117.9768,Kern County,California,PV
Springbok solar farm,3,90.0,MWac,2019.0,,35.1712,-118.0017,Kern County,California,PV
Stateline Solar,1,76.0,MWac,2015.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stateline Solar,2,34.0,MWac,2015.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stateline Solar,3,38.0,MWac,2016.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stateline Solar,4,38.0,MWac,2016.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stateline Solar,5,38.0,MWac,2016.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stateline Solar,6,38.0,MWac,2016.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stateline Solar,7,38.0,MWac,2016.0,,35.6001,-115.4001,San Bernardino County,California,PV
Stillwater Facility solar farm,1,22.0,MWac,2012.0,,39.5475,-118.5556,Churchill County,Nevada,PV
Stillwater Facility solar farm,2,20.0,MWac,2018.0,,39.542,-118.5601,Churchill County,Nevada,PV
Stroud Solar Station,,20.0,MWac,2011.0,,36.524,-120.123,Fresno County,California,PV
Sulphur Springs solar farm,,20.0,MWac,2016.0,,32.0628,-109.9193,Cochise County,Arizona,PV
Summer Solar,,20.0,MWac,2016.0,,34.7147,-118.311,Los Angeles County,California,PV
Sun City Project solar farm,,20.0,MWac,2011.0,,35.9831,-120.1103,Kings County,California,PV
Sun Mountain Solar,,200.0,MWac,2022.0,,38.1803,-104.5185,Pueblo County,Colorado,PV
Sun Streams 2 solar farm,,150.0,MWac,2021.0,,33.3204,-112.8168,Maricopa County,Arizona,PV
Sun Streams solar farm,,160.0,MWac,2020.0,,33.355,-112.84,Maricopa County,Arizona,PV
Sun Valley solar farm,,250.0,MWac,2022.0,,31.8698,-97.015,Maricopa County,Arizona,PV
Sunray 2 solar farm,,20.0,MWac,2017.0,,34.8634,-116.8276,San Bernardino County,California,PV
Sunshine Valley Solar,,104.0,MWac,2019.0,,36.518,-116.497,Nye County,Nevada,PV
Sweetwater Solar,,92.0,MWac,2018.0,,41.6291,-109.6835,Sweetwater County,Wyoming,PV
TA-High Desert solar farm,,20.0,MWac,2013.0,,34.7089,-118.3047,Los Angeles County,California,PV
Ta-Acacia solar farm,,20.0,MWac,2014.0,,34.6892,-118.3247,Los Angeles County,California,PV
Techren Solar,1,100.0,MWac,2019.0,,35.8513,-114.9744,Clark County,Nevada,PV
Techren Solar,2,200.0,MWac,2019.0,,35.8673,-114.9564,Clark County,Nevada,PV
Techren Solar,3,25.0,MWac,2020.0,,35.8441,-114.9713,Clark County,Nevada,PV
Techren Solar,4,25.0,MWac,2020.0,,35.8927,-114.9365,Clark County,Nevada,PV
Techren Solar,5,50.0,MWac,2020.0,,35.8997,-114.9263,Clark County,Nevada,PV
Tenaska Imperial Solar Energy Center,South,129.0,MWac,2013.0,,32.6633,-115.6583,Imperial County,California,PV
Tenaska Imperial Solar Energy Center,West,149.0,MWac,2016.0,,32.7722,-115.7793,Imperial County,California,PV
Three Peaks Power solar farm,,80.0,MWac,2016.0,,37.8271,-113.1371,Iron County,Utah,PV
Titan (California) solar farm,,70.0,MWac,2020.0,,33.1016,-116.01,Imperial County,California,PV
Titan (Colorado) solar farm,,50.0,MWac,2018.0,,39.6865,-104.014,Arapahoe County,Colorado,PV
Topaz solar farm,1,130.0,MWac,2013.0,,35.4056,-120.0686,San Luis Obispo County,California,PV
Topaz solar farm,2,151.0,MWac,2013.0,,35.4056,-120.0686,San Luis Obispo County,California,PV
Topaz solar farm,3,102.0,MWac,2014.0,,35.4056,-120.0686,San Luis Obispo County,California,PV
Topaz solar farm,4,112.0,MWac,2014.0,,35.4056,-120.0686,San Luis Obispo County,California,PV
Topaz solar farm,5,90.0,MWac,2014.0,,35.4056,-120.0686,San Luis Obispo County,California,PV
Townsite Solar Project Hybrid,,180.0,MWac,2022.0,,35.9373,-114.884,Clark County,Nevada,PV
Tranquillity solar farm,,205.0,MWac,2016.0,,36.5814,-120.4045,Fresno County,California,PV
Turquoise solar farm,,60.0,MWac,2020.0,,39.574,-119.5242,Washoe County,Nevada,PV
Utah Red Hills solar farm,,80.0,MWac,2015.0,,37.8828,-112.9042,Iron County,Utah,PV
Valentine Solar,,111.0,MWac,2019.0,,34.9042,-118.3843,Kern County,California,PV
Vandenberg Solar Project,,25.0,MWac,2017.0,,34.7497,-120.51,Santa Barbara County,California,PV
Vega (SunEdison) solar farm,,20.0,MWac,2015.0,,36.9258,-120.82,Merced County,California,PV
Victor Phelan Solar One,,20.0,MWac,2013.0,,34.5123,-117.4775,San Bernardino County,California,PV
West Line Solar,,100.0,MWac,2022.0,,32.7559,-111.5548,Pinal County,Arizona,PV
Western Antelope Blue Sky A solar farm,,20.0,MWac,2014.0,,34.6817,-118.3247,Los Angeles County,California,PV
Western Antelope Blue Sky B solar farm,,20.0,MWac,2016.0,,34.7321,-118.3136,Los Angeles County,California,PV
Westland solar farm,Aquamarine,250.0,MWac,2021.0,,36.1897,-119.9042,Kings County,California,PV
Westside (NextEra) solar farm,,20.0,MWac,2017.0,,36.3818,-120.1345,Fresno County,California,PV
Wheatridge Hybrid solar farm,,50.0,MWac,2022.0,,45.557,-119.612,Morrow County,Oregon,PV
White River Solar,1,20.0,MWac,2013.0,,35.8714,-119.4625,Tulare County,California,PV
White River Solar,2,20.0,MWac,2014.0,,35.8747,-119.0461,Tulare County,California,PV
Whitney Point Solar,,20.0,MWac,2017.0,,36.3769,-120.1385,Fresno County,California,PV
Willow Spring Solar,2,108.0,MWac,2019.0,,34.8267,-118.3352,Los Angeles County,California,PV
Wilmot Energy Center solar farm,,130.0,MWac,2021.0,,32.0435,-110.8927,Pima County,Arizona,PV
Windhub Solar A,,20.0,MWac,2019.0,,35.0199,-118.2879,Kern County,California,PV
Wistaria Ranch Solar,,107.0,MWac,2018.0,,32.676,-115.619,Imperial County,California,PV
Wister Solar,,20.0,MWac,2022.0,,33.2694,-115.503,Imperial County,California,PV
Wright Solar Park,,200.0,MWac,2019.0,,37.0094,-120.9572,Merced County,California,PV
