name,unit,capacity[MW],start[y],retirement[y],latitude,longitude,county,state,type
Tuana Gulch wind farm,1,10.0,2011.0,,42.8461,-114.969,Twin Falls County,Idaho,WT
Tuana Springs wind farm,1,17.0,2010.0,,42.8882,-115.017,Twin Falls County,Idaho,WT
Tucannon River wind farm,1,267.0,2014.0,,46.4348,-118.025,Columbia County,Washington,WT
Tule wind farm,1,131.0,2018.0,,32.7395,-116.282,San Diego County,California,WT
Tule wind farm,2,71.0,2018.0,,32.7395,-116.282,San Diego County,California,WT
Twin Buttes Wind Project,1,75.0,2007.0,,37.6717,-102.876,Bent County,Colorado,WT
Twin Buttes Wind Project,2,75.0,2017.0,,37.7599,-102.565,Prowers County,Colorado,WT
Two Ponds wind farm,1,23.0,2012.0,,43.0338,-115.483,Elmore County,Idaho,WT
Vansycle wind farm,1,25.0,1998.0,,45.9408,-118.666,Umatilla County,Oregon,WT
Vansycle wind farm,2,99.0,2009.0,,45.8916,-118.531,Umatilla County,Oregon,WT
Vantage Point wind farm,1,90.0,2010.0,,46.9604,-120.195,Kittitas County,Washington,WT
Vasco wind farm,1,78.0,2011.0,,37.7985,-121.701,Contra Costa County,California,WT
Victory Garden Phase IV wind farm,4,22.0,1990.0,2020.0,35.076,-118.366,Kern County,California,WT
Voyager wind farm,1,131.0,2019.0,,35.0514,-118.287,Kern County,California,WT
Voyager wind farm,2,129.0,2018.0,,35.0734,-118.269,Kern County,California,WT
Voyager wind farm,3,43.0,2018.0,,35.0608,-118.265,Kern County,California,WT
Voyager wind farm,4,22.0,2018.0,,35.0779,-118.25001,Kern County,California,WT
Wheat Field Wind Power Project,1,97.0,2009.0,,45.6725,-120.325,Gilliam County,Oregon,WT
Wheatridge Renewable Wind Energy Center,1,300.0,2020.0,,45.4905,-119.531,Morrow County,Oregon,WT
White Creek wind farm,1,205.0,2007.0,,45.8299,-120.327,Klickitat County,Washington,WT
White Hills wind farm,1,350.0,2020.0,,35.8005,-114.441,Mohave County,Arizona,WT
Whitewater Hill wind farm,1,62.0,2002.0,,33.9258,-116.616,Riverside County,California,WT
Wild Horse wind farm,1,229.0,2006.0,,47.0026,-120.166,Kittitas County,Washington,WT
Wild Horse wind farm,2,44.0,2009.0,,47.059,-120.236,Kittitas County,Washington,WT
Wildcat (Exelon) Wind Project,1,27.0,2012.0,,32.9511,-103.279,Lea County,New Mexico,WT
Willow Creek (Invenergy) Wind Energy Center,1,72.0,2009.0,,45.6533,-119.9795,Morrow County,Oregon,WT
Willow Spring (Oregon) wind farm,1,10.0,2017.0,,44.3808,-117.277,Baker County,Oregon,WT
Windland wind farm,1,15.0,1982.0,2020.0,35.0522,-118.358,Kern County,California,WT
Windstar wind farm (United States),1,120.0,2012.0,,35.0275,-118.271,Kern County,California,WT
Windy Flats Wind Project,1,202.0,2009.0,,45.733,-120.837,Klickitat County,Washington,WT
Windy Flats Wind Project,2,60.0,2009.0,,45.699,-120.886,Klickitat County,Washington,WT
Windy Point wind farm (United States),1,137.0,2009.0,,45.7653,-120.686,Klickitat County,Washington,WT
Wolverine Creek wind farm,1,64.0,2005.0,,43.3711,-111.844,Bonneville County,Idaho,WT
Yahoo Creek Wind Project,1,21.0,2010.0,,42.7669,-115.007,Twin Falls County,Idaho,WT
